Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PPP,+/-,PIM,EV Goals,PP Goals,SH Goals,GWG,EV Assists,PP Assists,SH Assists,S,S%,ATOI,BLK,HIT,FOW,FOL,FO%
426,Marc-Edouard Vlasic,32,SJS,D,70,5,10,15,0,-10,10,4,0,1,1,10,0,0,74,6.8,20:18,97,37,0,0,
427,Jordan Weal,27,MTL,C,49,8,7,15,5,-8,14,6,2,0,2,4,3,0,86,9.3,13:37,21,32,96,97,49.7
428,Filip Zadina,20,DET,RW,28,8,7,15,7,-13,2,4,4,0,1,4,3,0,60,13.3,15:10,10,11,1,0,100
429,Zdeno Chara,42,BOS,D,68,5,9,14,0,26,60,5,0,0,2,9,0,0,86,5.8,21:01,101,78,0,0,
430,Casey Cizikas,28,NYI,C,48,10,4,14,0,12,41,7,0,3,1,2,0,2,67,14.9,14:18,39,133,368,320,53.5
431,Andrew Cogliano,32,DAL,LW,68,3,11,14,0,2,30,3,0,0,0,11,0,0,68,4.4,12:28,31,86,17,20,45.9
432,Brenden Dillon,29,WSH,D,69,1,13,14,0,-2,104,1,0,0,0,12,0,1,58,1.7,19:27,74,194,0,0,
433,Haydn Fleury,23,CAR,D,45,4,10,14,0,-2,8,4,0,0,0,9,0,1,65,6.2,13:40,45,48,0,0,
434,Michael Frolik,31,BUF,LW,57,6,8,14,0,-12,28,4,0,2,1,7,0,1,70,8.6,12:26,22,32,6,15,28.6
435,Andy Greene,37,NYI,D,63,2,12,14,1,1,16,2,0,0,0,9,1,2,60,3.3,19:33,155,30,0,0,
436,Nick Holden,32,VEG,D,61,6,8,14,1,-1,13,5,1,0,0,7,0,1,101,5.9,18:51,74,129,0,0,
437,Leo Komarov,33,NYI,C,48,4,10,14,0,2,10,4,0,0,1,9,0,1,46,8.7,12:36,29,123,34,52,39.5
438,Ryan Lindgren,21,NYR,D,60,1,13,14,0,16,47,1,0,0,0,13,0,0,47,2.1,16:34,70,94,0,0,
439,Riley Nash,30,CBJ,C,64,5,9,14,0,6,10,4,0,1,1,9,0,0,64,7.8,11:51,36,68,245,267,47.9
440,Nikolai Prokhorkin,26,LAK,LW,43,4,10,14,3,-6,6,4,0,0,1,7,3,0,63,6.3,12:06,7,38,101,111,47.6
441,Carson Soucy,25,MIN,D,55,7,7,14,0,16,18,6,0,1,1,7,0,0,61,11.5,15:38,50,69,0,0,
442,Austin Watson,28,NSH,LW,53,6,8,14,0,-9,65,6,0,0,1,6,0,2,50,12,11:37,48,131,6,6,50
443,Zach Aston-Reese,25,PIT,C,57,6,7,13,0,6,28,5,0,1,0,7,0,0,98,6.1,14:26,30,136,7,16,30.4
444,Sammy Blais,23,STL,LW,40,6,7,13,0,-2,20,6,0,0,1,7,0,0,56,10.7,12:35,15,155,0,0,
445,Adam Boqvist,19,CHI,D,41,4,9,13,2,-3,6,4,0,0,1,7,2,0,50,8,16:13,43,33,0,0,
446,Nicolas Deslauriers,28,ANA,LW,59,7,6,13,0,-1,92,7,0,0,1,6,0,0,64,10.9,9:47,32,137,0,0,
447,Loui Eriksson,34,VAN,LW,49,6,7,13,0,-2,12,6,0,0,0,7,0,0,59,10.2,12:22,15,10,2,0,100
448,Sam Gagner,30,DET,C,42,6,7,13,3,-10,12,4,2,0,0,6,1,0,79,7.6,13:21,10,22,45,57,44.1
449,Robert Hagg,24,PHI,D,49,3,10,13,1,14,30,2,1,0,0,10,0,0,38,7.9,15:36,79,136,0,0,
450,Sam Lafferty,24,PIT,C,50,6,7,13,0,5,23,6,0,0,1,7,0,0,56,10.7,9:37,17,95,117,119,49.6
451,Jordan Martinook,27,CAR,LW,45,2,11,13,0,-2,22,2,0,0,1,9,0,2,44,4.5,11:16,23,72,66,62,51.6
452,Scott Mayfield,27,NYI,D,67,5,8,13,0,8,53,5,0,0,1,6,0,2,98,5.1,19:57,117,93,0,0,
453,Jake McCabe,26,BUF,D,66,3,10,13,0,-11,41,2,0,1,1,10,0,0,75,4,18:32,90,91,0,0,
454,Jordan Oesterle,27,ARI,D,58,3,10,13,2,-9,14,3,0,0,0,8,2,0,69,4.3,17:01,88,48,0,0,
455,Victor Rask,26,MIN,C,43,5,8,13,0,7,6,5,0,0,2,8,0,0,38,13.2,10:29,8,26,120,152,44.1
456,Antoine Roussel,30,VAN,LW,41,7,6,13,2,0,43,6,1,0,1,5,1,0,55,12.7,11:50,14,44,6,6,50
457,Marco Scandella,29,STL,D,62,4,9,13,0,14,20,4,0,0,0,9,0,0,77,5.2,17:35,60,78,0,0,
458,Alexandre Texier,20,CBJ,C,36,6,7,13,1,3,10,6,0,0,1,6,1,0,49,12.2,12:45,7,20,22,41,34.9
459,Carter Verhaeghe,24,TBL,C,52,9,4,13,1,-9,8,8,1,0,1,4,0,0,57,15.8,9:22,8,29,14,17,45.2
460,Nikita Zadorov,24,COL,D,64,4,9,13,0,6,65,4,0,0,0,9,0,0,65,6.2,17:46,66,175,0,0,
